Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,16.39727703,29.96332889,46.71125063,48.35902826,50.16054153,51.75091455,53.10428376,54.64854116,56.24823145,57.90825169,59.75228064,..
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,119.9467883,112.7382117,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934,104.6122628,104.1675547,103.5711314,..
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,10.71404687,12.92106653,15.64426134,15.95498501,16.27388716,16.60262556,16.93690834,17.27162861,17.6035123,17.93031568,18.24365706,..
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,239.09,291.15,268.455,264.975,261.085,256.84,252.24,247.315,242.12,236.605,230.945,..
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,113.9765957,140.6319149,151.0914894,151.8446809,152.3851064,152.6510638,154.3404255,157.1,159.6021277,162.4319149,165.3191489,..
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,9.487958611,13.14996551,20.20397209,20.97297024,21.76011631,22.56173979,23.38553461,24.2308719,25.08505093,25.95138205,26.81357664,..
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,143.9272727,170.5795455,199.2590909,201.1295455,202.8090909,204.4113636,205.8272727,207.0886364,208.2409091,209.3568182,210.6,..
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,11.92596056,13.54584334,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,16.42082662,16.58089261,..
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,124.9223393,111.2933966,102.3681419,101.9102564,101.5079031,101.1097647,100.6615736,100.1729189,99.63319283,99.07277836,98.54611872,..
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,365.0666667,495.0055556,567.2888889,571.5555556,575.5222222,579.2055556,582.6333333,585.7722222,588.6777778,591.3444444,592.1388889,..
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,2.221356625,2.476966794,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.197365841,3.245784982,3.294351419,3.335312311,..
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,93.04229278,97.08635482,102.1569438,102.7608216,103.5670868,104.7345977,105.8733398,106.6113185,107.1318589,107.6093068,108.0570044,..
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,86.22276698,97.43477998,112.4607902,113.9234808,115.3488139,116.7310768,118.033289,119.2087416,120.2575919,121.2800711,122.1247368,..
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,27.04085914,32.46893107,38.16793207,38.52647353,38.87422577,39.23046953,39.55804196,39.86213786,40.15044955,40.41528472,40.60649351,..
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,749.8811594,1002.030986,1590.82987,1638.536364,1700.562905,1750.825193,1809.577664,1867.735897,1906.846154,1908.286079,1882.126115,..
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,823.136291,992.4969425,1168.400161,1183.299831,1198.135507,1212.491357,1227.50686,1242.943566,1257.462995,1271.538926,1286.171553,..
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,602.0186047,615.4813953,642.3186047,643.872093,645.3325581,646.7046512,648.0209302,649.272093,650.4372093,651.5813953,652.7744186,..
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,50.21164157,49.19747791,46.5593029,46.53937252,46.55060033,46.61133719,46.64994482,46.59875953,46.50105922,46.41075062,46.21121293,..
